date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1980Q3,14.662999999999998,-1.2715999999999994,16.0,-1.0,284402.0,12.558144009235301,-0.0010929250888018771,3.476397757568221,0.03689467316006523,2.14005318475371,-0.9996712815435207
1980Q4,13.443466666666666,-1.2195333333333327,14.666666666666666,-1.333333333333334,281496.0,12.547873516869451,-0.010270492365849648,3.5187777331322514,0.04237997556403039,1.85965782296056,-0.14043817676256132
1981Q1,11.908566666666667,-1.5348999999999986,13.333333333333334,-1.3333333333333321,281257.0,12.547024121079932,-0.0008493957895190363,3.5455158985913595,0.02673816545910812,2.373417721519,0.24393848829242393
1981Q2,11.5361,-0.37246666666666783,12.0,-1.333333333333334,282155.0,12.550211844310622,0.003187723230690054,3.562925612139816,0.01740971354845655,4.874569016763759,0.7197007007805577
1981Q3,14.037066666666666,2.500966666666667,12.896666666666667,0.8966666666666665,285437.0,12.561776618228864,0.0115647739182414,3.5793705790742965,0.016444966934480387,1.7344972225371105,-1.033314107602257
1981Q4,14.696133333333334,0.6590666666666678,14.69,1.793333333333333,285814.0,12.563096528582571,0.0013199103537075985,3.6089437895344685,0.029573210460172028,2.4515266324939,0.3459933596827858
1982Q1,12.845666666666666,-1.8504666666666676,13.586666666666668,-1.1033333333333317,286275.0,12.564708166281541,0.001611637698969659,3.6314970473116452,0.02255325777717676,1.66412877963888,-0.3874092147901914
1982Q2,12.356266666666665,-0.4894000000000016,12.963333333333333,-0.6233333333333348,289232.0,12.574984413214636,0.010276246933095479,3.6405415485230184,0.009044501211373124,3.19888734353268,0.6535013131818485
1982Q3,9.973,-2.383266666666664,10.796666666666667,-2.166666666666666,289852.0,12.577125726864825,0.0021413136501884367,3.6563274368409298,0.01578588831791139,0.4561476259589651,-1.9477418249187175
1982Q4,9.292866666666667,-0.6801333333333339,9.876666666666667,-0.9199999999999999,291832.0,12.583933573211679,0.006807846346854163,3.676883296208948,0.020555859368018403,0.732714138286892,0.473939138867117
